,mut_NB_f4,mut_NB_f5
g01382,21,51
g01383,116,107
g01384,0,0
g01385,0,0
g01386,1,0
g01387,288,230
g01388,43,27
g01389,1,1
g01390,0,0
g01391,0,0
g01392,384,228
g01393,41,18
g01394,6,7
g01395,2,1
g01396,169,121
g01397,3084,2581
g01398,288,239
g01399,4,5
g01400,0,0
g01401,180,148
g01402,302,290
g01403,14,14
g01404,34,26
g01405,15,7
g01406,0,1
g01407,26,23
g01408,18,13
g01409,1,0
g01410,0,1
g01411,121,195
g01412,3,6
g01413,75,71
g01414,114,98
g01415,297,275
g01416,841,672
g01417,3,1
g01418,37,42
g01419,435,367
g01420,54,46
g01421,98,48
g01422,646,453
g01423,3869,2386
g01424,3,8
g01425,68,142
g01426,0,0
g01427,5,4
g01428,120,72
g01429,43,26
g01430,7,5
g01431,12,15
g01432,0,0
g01433,1,1
g01434,11,22
g01435,4,2
g01436,4,12
g01437,171,181
g01438,2274,1824
g01439,167,169
g01440,38,31
g01441,4,3
g01442,3,2
g01443,3,2
g01444,674,202
g01445,24,6
g01446,1,1
g01447,3,1
g01448,2307,2163
g01449,0,1
g01450,32,40
g01451,3,3
g01452,20,19
g01453,2,0
g01454,1,0
g01455,19,12
g01456,196,170
g01457,3,3
g01458,0,0
g01459,0,0
g01460,1670,2595
g01461,267,247
g01462,2,1
g01463,2125,1857
g01464,35,31
g01465,36,43
g01466,84,56
g01467,32,14
g01468,81,44
g01469,1,0
g01470,5,7
g01471,653,503
g01472,2,2
g01473,0,0
g01474,31,18
g01475,30,27
g01476,2,0
g01477,0,0
g01478,0,0
g01479,9,9
g01480,211,192
g01481,3,6
g01482,32,31
g01483,257,191
g01484,20,17
g01485,53,61
g01486,31,24
g01487,1268,1029
g01488,535,402
g01489,384,254
g01490,93,52
g01491,600,459
g01492,0,1
g01493,0,0
g01494,2988,2551
g01495,229,189
g01496,1137,803
g01497,4,2
g01498,24,16
g01499,0,0
g01500,921,687
g01501,3,0
g01502,6,14
g01503,2,2
g01504,1,0
g01505,0,0
g01506,585,380
g01507,150,151
g01508,8,7
g01509,2935,2219
g01510,9,2
g01511,323,194
g01512,382,324
g01513,1364,1878
g01514,137,191
g01515,0,1
g01516,346,351
g01517,210,182
g01518,351,422
g01519,552,368
g01520,128,131
g01521,146,145
g01522,1141,1267
g01523,54,77
g01524,48,107
g01525,0,0
g01526,346,210
g01527,0,0
g01528,0,0
g01529,0,0
g01530,49,148
g01531,3371,2147
g01532,7,5
g01533,3523,2354
g01534,177,151
g01535,596,578
g01536,2,3
g01537,46,39
g01538,1335,1424
g01539,1962,1717
g01540,7,7
g01541,0,0
g01542,1,1
g01543,75419,58672
g01544,158,58
g01545,0,0
g01546,0,1
g01547,1127,917
g01548,133,66
g01549,15,5
g01550,1,4
g01551,336,284
g01552,277,306
g01553,1459,1006
g01554,19,9
g01555,15,5
g01556,1285,1198
g01557,3,2
g01558,5,6
g01559,74,61
g01560,5,2
g01561,6,3
g01562,11,8
g01563,778,524
g01564,138,100
g01565,1,1
g01566,0,0
g01567,0,0
g01568,0,0
g01569,1311,960
g01570,1,0
g01571,5,0
g01572,0,0
g01573,0,0
g01574,3,2
g01575,1,0
g01576,0,0
g01577,47,39
g01578,70,63
g01579,1,0
g01580,1,0
g01581,0,0
g01582,2,6
g01583,43,38
g01584,5,1
g01585,7,7
g01586,29,30
g01587,0,1
g01588,1,6
g01589,0,0
g01590,0,0
g01591,0,0
g01592,0,0
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,1,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,144,139
g01605,14,21
g01606,44,36
g01607,14,21
g01608,3,0
g01609,0,0
g01610,504,418
g01611,278,92
g01612,70,61
g01613,111,91
g01614,0,0
g01615,0,0
g01616,0,0
g01617,0,2
g01618,0,0
g01619,1,0
g01620,198,119
g01621,0,1
g01622,64,53
g01623,52,53
g01624,0,0
g01625,1402,905
g01626,5,2
g01627,0,0
g01628,0,0
g01629,0,0
g01630,3,3
g01631,4,3
g01632,925,1164
g01633,1459,1454
g01634,4,4
g01635,0,1
g01636,3,6
g01637,65,49
g01638,41,31
g01639,53,56
g01640,9,9
g01641,1,6
g01642,78,79
g01643,42,73
g01644,4,1
g01645,758,630
g01646,0,0
g01647,1,2
g01648,0,0
g01649,0,0
g01650,0,0
g01651,0,0
g01652,0,0
g01653,10,28
g01654,78,79
g01655,4,8
g01656,51,68
g01657,0,0
g01658,1,0
g01659,13,10
g01660,0,0
g01661,204,156
g01662,415,423
g01663,265,260
g01664,154,153
g01665,77,41
g01666,29,30
g01667,0,0
g01668,5,1
g01669,683,469
g01670,601,943
g01671,0,0
g01672,45,62
g01673,0,1
g01674,16,20
g01675,2,2
g01676,257,205
g01677,6,6
g01678,495,404
g01679,34,39
g01680,728,664
g01681,6,9
g01682,4,2
g01683,0,1
g01684,0,0
g01685,5,9
g01686,3,4
g01687,0,0
g01688,90,35
g01689,100,54
g01690,141,119
g01691,76,57
g01692,62,49
g01693,794,531
g01694,0,0
g01695,0,0
g01696,9,3
g01697,269,294
g01698,13,6
g01699,3,0
g01700,0,0
g01701,337,272
g01702,0,1
