,het_E17.5_f5,het_E17.5_f4
g01450,3045,2537
g01451,345,268
g01452,36,34
g01453,4,1
g01454,1,1
g01455,16,15
g01456,263,214
g01457,17,8
g01458,0,1
g01459,0,1
g01460,498,601
g01461,296,311
g01462,2,2
g01463,869,768
g01464,352,297
g01465,2604,1933
g01466,151,125
g01467,105,88
g01468,179,158
g01469,5,5
g01470,86,69
g01471,1393,1556
g01472,93,64
g01473,1,1
g01474,363,325
g01475,118,99
g01476,10,6
g01477,0,0
g01478,0,1
g01479,7,4
g01480,195,199
g01481,67,116
g01482,19,36
g01483,531,362
g01484,20,17
g01485,193,157
g01486,53,48
g01487,1169,1122
g01488,507,454
g01489,365,390
g01490,82,108
g01491,595,585
g01492,1,5
g01493,0,0
g01494,1846,1665
g01495,298,287
g01496,1344,1233
g01497,28,26
g01498,180,155
g01499,0,0
g01500,1058,961
g01501,21,5
g01502,160,123
g01503,0,2
g01504,1,1
g01505,0,0
g01506,966,812
g01507,377,295
g01508,30,35
g01509,3667,3295
g01510,5,3
g01511,98,79
g01512,678,646
g01513,7140,5516
g01514,680,552
g01515,0,2
g01516,459,333
g01517,1143,815
g01518,336,353
g01519,396,347
g01520,113,92
g01521,96,104
g01522,685,561
g01523,91,65
g01524,215,162
g01525,3,2
g01526,359,259
g01527,1,0
g01528,0,0
g01529,0,1
g01530,39,36
g01531,542,408
g01532,486,384
g01533,1113,1071
g01534,318,255
g01535,552,507
g01536,2,5
g01537,52,38
g01538,522,467
g01539,751,752
g01540,30,23
g01541,0,0
g01542,3,1
g01543,20124,22015
g01544,143,140
g01545,1,1
g01546,1,1
g01547,500,482
g01548,23,14
g01549,0,0
g01550,44,43
g01551,202,158
g01552,233,202
g01553,521,534
g01554,11,6
g01555,8,8
g01556,3354,2884
g01557,37,17
g01558,384,300
g01559,231,193
g01560,7,6
g01561,9,2
g01562,168,115
g01563,624,573
g01564,160,126
g01565,0,0
g01566,0,1
g01567,0,0
g01568,0,0
g01569,354,360
g01570,0,0
g01571,29,15
g01572,7,4
g01573,3,5
g01574,8,7
g01575,16,13
g01576,0,0
g01577,58,62
g01578,355,220
g01579,2,0
g01580,0,0
g01581,0,1
g01582,199,174
g01583,50,61
g01584,7,8
g01585,15,18
g01586,123,86
g01587,5,3
g01588,3,6
g01589,0,0
g01590,0,1
g01591,0,0
g01592,0,0
g01593,0,1
g01594,0,0
g01595,0,0
g01596,0,1
g01597,0,0
g01598,0,0
g01599,0,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,401,403
g01605,61,66
g01606,472,365
g01607,158,169
g01608,30,27
g01609,119,80
g01610,894,678
g01611,33,17
g01612,162,156
g01613,2026,1779
g01614,1,2
g01615,0,1
g01616,0,0
g01617,46,43
g01618,8,9
g01619,0,0
g01620,487,424
g01621,0,1
g01622,744,632
g01623,3158,2787
g01624,0,0
g01625,953,884
g01626,2,0
g01627,1,0
g01628,0,0
g01629,0,0
g01630,8,16
g01631,72,34
g01632,620,579
g01633,1017,854
g01634,316,250
g01635,58,50
g01636,63,55
g01637,155,133
g01638,73,62
g01639,65,54
g01640,174,129
g01641,125,82
g01642,126,125
g01643,70,65
g01644,4,1
g01645,725,726
g01646,4,4
g01647,468,404
g01648,8,7
g01649,0,0
g01650,0,3
g01651,0,0
g01652,0,0
g01653,3,1
g01654,201,179
g01655,52,49
g01656,170,145
g01657,0,1
g01658,0,1
g01659,27,19
g01660,0,3
g01661,974,850
g01662,702,688
g01663,228,235
g01664,152,130
g01665,63,63
g01666,82,61
g01667,0,0
g01668,18,18
g01669,1833,1561
g01670,2430,2341
g01671,0,2
g01672,3615,3243
g01673,12,12
g01674,136,77
g01675,18,6
g01676,980,834
g01677,26,20
g01678,386,279
g01679,96,77
g01680,2578,1998
g01681,51,49
g01682,24,27
g01683,8,0
g01684,0,1
g01685,11,8
g01686,4,3
g01687,1,1
g01688,275,326
g01689,199,132
g01690,314,234
g01691,95,108
g01692,93,74
g01693,555,573
