,wt_NB_f5,wt_NB_f4
g01587,2,0
g01588,8,3
g01589,0,0
g01590,0,0
g01591,0,0
g01592,0,0
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,0,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,169,149
g01605,24,26
g01606,67,52
g01607,18,26
g01608,7,5
g01609,0,2
g01610,415,510
g01611,79,361
g01612,71,74
g01613,80,76
g01614,0,0
g01615,0,0
g01616,0,0
g01617,1,0
g01618,0,0
g01619,0,1
g01620,150,152
g01621,0,0
g01622,66,72
g01623,64,47
g01624,0,0
g01625,996,1205
g01626,0,1
g01627,1,0
g01628,0,0
g01629,0,0
g01630,6,4
g01631,4,1
g01632,1265,865
g01633,1599,1357
g01634,5,5
g01635,2,3
g01636,8,6
g01637,50,51
g01638,31,43
g01639,70,57
g01640,2,7
g01641,4,3
g01642,72,66
g01643,62,28
g01644,6,2
g01645,933,695
g01646,0,0
g01647,1,1
g01648,0,0
g01649,0,0
g01650,0,0
g01651,0,0
g01652,0,0
g01653,21,13
g01654,66,75
g01655,14,10
g01656,70,56
g01657,0,0
g01658,0,2
g01659,13,31
g01660,1,2
g01661,305,164
g01662,459,355
g01663,284,292
g01664,173,179
g01665,53,75
g01666,46,28
g01667,0,2
g01668,0,1
g01669,647,625
g01670,860,568
g01671,0,0
g01672,38,39
g01673,0,0
g01674,34,25
g01675,4,2
g01676,235,247
g01677,9,7
g01678,396,419
g01679,30,42
g01680,658,638
g01681,14,9
g01682,4,0
g01683,2,1
g01684,0,1
g01685,3,7
g01686,5,2
g01687,0,1
g01688,52,63
g01689,70,72
g01690,153,128
g01691,79,50
g01692,56,42
g01693,407,726
g01694,0,0
g01695,0,0
g01696,1,6
g01697,209,239
g01698,9,8
g01699,1,0
g01700,1,0
g01701,360,313
g01702,0,0
g01703,90,104
g01704,49,47
