,mut_E14.5_f5,mut_E14.5_f4
g01443,129,98
g01444,110,87
g01445,215,216
g01446,2,0
g01447,0,0
g01448,3039,2965
g01449,1,0
g01450,1358,1194
g01451,165,150
g01452,80,81
g01453,2,0
g01454,1,0
g01455,19,19
g01456,229,237
g01457,17,15
g01458,0,0
g01459,0,0
g01460,45,28
g01461,188,140
g01462,7,4
g01463,469,371
g01464,397,377
g01465,5257,5331
g01466,205,201
g01467,120,143
g01468,168,182
g01469,4,8
g01470,27,31
g01471,1471,1214
g01472,76,54
g01473,4,12
g01474,317,321
g01475,157,177
g01476,224,216
g01477,0,0
g01478,31,24
g01479,62,23
g01480,208,206
g01481,57,47
g01482,228,258
g01483,563,528
g01484,33,34
g01485,198,202
g01486,88,73
g01487,1233,1060
g01488,314,310
g01489,309,308
g01490,56,63
g01491,610,644
g01492,3,4
g01493,0,0
g01494,1562,1324
g01495,254,229
g01496,805,773
g01497,58,49
g01498,188,187
g01499,0,0
g01500,902,860
g01501,7,6
g01502,139,117
g01503,3,1
g01504,43,37
g01505,0,0
g01506,1195,1115
g01507,398,397
g01508,63,47
g01509,3604,3182
g01510,3,2
g01511,71,44
g01512,741,968
g01513,13565,12037
g01514,1216,967
g01515,0,1
g01516,518,452
g01517,1833,1654
g01518,320,281
g01519,300,354
g01520,112,130
g01521,161,130
g01522,1101,1042
g01523,161,162
g01524,737,699
g01525,2,2
g01526,412,486
g01527,0,1
g01528,0,2
g01529,3,7
g01530,5,6
g01531,337,299
g01532,275,268
g01533,571,592
g01534,298,354
g01535,755,733
g01536,10,13
g01537,26,30
g01538,660,539
g01539,143,135
g01540,636,570
g01541,4,4
g01542,6,3
g01543,2717,1659
g01544,119,114
g01545,2,6
g01546,38,53
g01547,413,344
g01548,2,0
g01549,2,4
g01550,27,22
g01551,168,133
g01552,232,222
g01553,265,184
g01554,5,4
g01555,3,4
g01556,4092,4109
g01557,35,29
g01558,283,251
g01559,1166,1120
g01560,18,8
g01561,12,6
g01562,79,72
g01563,759,718
g01564,150,170
g01565,4,2
g01566,0,0
g01567,1,0
g01568,0,0
g01569,302,322
g01570,1,1
g01571,23,28
g01572,13,21
g01573,10,9
g01574,6,11
g01575,25,32
g01576,1,1
g01577,54,62
g01578,642,554
g01579,0,1
g01580,0,0
g01581,21,2
g01582,439,408
g01583,61,56
g01584,5,4
g01585,21,10
g01586,137,123
g01587,0,0
g01588,6,9
g01589,0,0
g01590,0,0
g01591,0,0
g01592,1,0
g01593,0,1
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,1,0
g01600,0,0
g01601,1,0
g01602,0,0
g01603,2,1
g01604,911,897
g01605,177,134
g01606,407,456
g01607,741,911
g01608,166,154
g01609,87,90
g01610,1106,991
g01611,42,30
g01612,261,281
g01613,2072,1894
g01614,1,0
g01615,2,0
g01616,0,0
g01617,250,230
g01618,55,44
g01619,2,1
g01620,506,529
g01621,0,0
g01622,482,462
g01623,1474,1147
g01624,0,0
g01625,1170,1044
g01626,0,0
g01627,1,1
g01628,0,0
g01629,0,0
g01630,779,952
g01631,403,389
g01632,370,337
g01633,841,831
g01634,183,177
g01635,28,41
g01636,63,70
g01637,134,119
g01638,128,111
g01639,61,59
g01640,318,278
g01641,181,259
g01642,130,149
g01643,144,145
g01644,5,4
g01645,651,630
g01646,159,132
g01647,162,110
g01648,3,3
g01649,5,4
g01650,62,59
g01651,0,0
g01652,0,0
g01653,10,6
g01654,218,215
g01655,213,198
g01656,204,257
g01657,0,1
g01658,0,0
g01659,20,20
g01660,7,4
g01661,1083,1111
g01662,1078,1094
g01663,1689,1734
g01664,103,87
g01665,429,695
g01666,105,127
g01667,0,0
g01668,265,217
g01669,2644,2758
g01670,3904,4165
g01671,0,0
g01672,3847,3575
g01673,23,23
g01674,162,140
g01675,39,20
g01676,1547,1507
g01677,34,20
g01678,138,107
g01679,149,150
g01680,3564,3398
g01681,56,64
g01682,45,28
g01683,5,4
g01684,0,0
g01685,4,4
g01686,5,1
