,wt_E14.5_f4,wt_E14.5_f5
g01443,128,102
g01444,91,66
g01445,239,319
g01446,0,0
g01447,0,1
g01448,3060,3964
g01449,0,0
g01450,1164,1438
g01451,141,175
g01452,54,78
g01453,0,2
g01454,0,5
g01455,14,26
g01456,215,284
g01457,12,29
g01458,0,0
g01459,0,0
g01460,33,23
g01461,171,183
g01462,7,9
g01463,423,526
g01464,369,449
g01465,5043,6738
g01466,210,273
g01467,116,133
g01468,170,209
g01469,4,3
g01470,18,35
g01471,1131,1747
g01472,60,78
g01473,10,12
g01474,352,361
g01475,162,193
g01476,189,317
g01477,0,0
g01478,19,34
g01479,44,64
g01480,176,287
g01481,57,54
g01482,221,313
g01483,554,622
g01484,39,33
g01485,248,229
g01486,73,120
g01487,1089,1512
g01488,356,381
g01489,325,351
g01490,71,69
g01491,654,796
g01492,8,6
g01493,0,0
g01494,1495,1848
g01495,218,301
g01496,750,961
g01497,46,62
g01498,178,194
g01499,0,0
g01500,834,1055
g01501,7,14
g01502,118,152
g01503,4,2
g01504,26,62
g01505,0,2
g01506,1159,1486
g01507,398,521
g01508,51,62
g01509,3270,4058
g01510,4,5
g01511,65,64
g01512,891,982
g01513,12127,16746
g01514,1061,1486
g01515,1,0
g01516,533,613
g01517,1667,2294
g01518,269,393
g01519,318,395
g01520,130,155
g01521,130,168
g01522,1052,1384
g01523,157,182
g01524,690,990
g01525,0,2
g01526,442,577
g01527,1,0
g01528,2,0
g01529,3,2
g01530,2,5
g01531,298,425
g01532,283,330
g01533,556,619
g01534,311,317
g01535,737,913
g01536,7,7
g01537,35,33
g01538,604,843
g01539,123,151
g01540,536,768
g01541,5,6
g01542,4,5
g01543,1676,1338
g01544,101,136
g01545,4,3
g01546,55,72
g01547,410,435
g01548,2,1
g01549,4,7
g01550,13,25
g01551,149,162
g01552,224,328
g01553,208,259
g01554,3,4
g01555,3,8
g01556,4367,5152
g01557,23,38
g01558,252,271
g01559,1036,1600
g01560,15,26
g01561,15,6
g01562,70,85
g01563,739,900
g01564,140,193
g01565,3,1
g01566,0,0
g01567,1,0
g01568,0,0
g01569,290,419
g01570,0,1
g01571,20,35
g01572,11,26
g01573,10,9
g01574,9,7
g01575,39,41
g01576,1,3
g01577,44,78
g01578,575,864
g01579,0,0
g01580,0,1
g01581,0,67
g01582,391,599
g01583,87,79
g01584,9,12
g01585,17,20
g01586,126,165
g01587,0,1
g01588,13,8
g01589,0,1
g01590,0,0
g01591,0,0
g01592,1,1
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,0,1
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,886,1169
g01605,162,236
g01606,528,592
g01607,1063,1028
g01608,146,183
g01609,90,90
g01610,1160,1425
g01611,19,23
g01612,219,362
g01613,1975,2340
g01614,0,0
g01615,0,1
g01616,1,0
g01617,230,295
g01618,39,66
g01619,0,1
g01620,525,681
g01621,0,0
g01622,467,491
g01623,1095,1628
g01624,0,0
g01625,1026,1525
g01626,0,0
g01627,0,1
g01628,0,0
g01629,0,0
g01630,879,1164
g01631,365,538
g01632,329,427
g01633,765,1040
g01634,245,238
g01635,40,33
g01636,71,86
g01637,128,171
g01638,109,174
g01639,61,74
g01640,275,419
g01641,244,330
g01642,153,188
g01643,155,178
g01644,8,2
g01645,620,730
g01646,93,175
g01647,89,209
g01648,3,3
g01649,2,2
g01650,33,74
g01651,1,0
g01652,0,0
g01653,4,13
g01654,192,211
g01655,223,271
g01656,251,245
g01657,2,4
g01658,0,0
g01659,22,35
g01660,4,5
g01661,1122,1321
g01662,1098,1335
g01663,1622,2484
g01664,90,102
g01665,1373,511
g01666,115,149
g01667,0,0
g01668,246,315
g01669,2870,3349
g01670,4524,4691
g01671,0,0
g01672,3763,4323
g01673,32,41
g01674,130,139
g01675,20,34
g01676,1665,2053
g01677,19,51
g01678,164,157
g01679,164,185
g01680,3440,4564
g01681,62,65
