,het_NB_f4,het_NB_f5
g01164,0,0
g01165,0,1
g01166,9,10
g01167,0,0
g01168,40,44
g01169,1,4
g01170,375,501
g01171,1,10
g01172,0,3
g01173,8,10
g01174,99,119
g01175,0,0
g01176,37,44
g01177,804,657
g01178,4,27
g01179,120,134
g01180,101,127
g01181,122,97
g01182,327,313
g01183,152,138
g01184,2,3
g01185,343,283
g01186,471,407
g01187,65,78
g01188,23,16
g01189,7929,5794
g01190,167,165
g01191,216,174
g01192,5,7
g01193,1432,1345
g01194,42,47
g01195,0,0
g01196,11,6
g01197,1,4
g01198,0,1
g01199,9,4
g01200,0,0
g01201,0,0
g01202,9,13
g01203,0,2
g01204,0,0
g01205,0,2
g01206,375,320
g01207,5,7
g01208,798,901
g01209,2242,2325
g01210,460,462
g01211,421,391
g01212,820,681
g01213,423,468
g01214,6,25
g01215,0,0
g01216,4,42
g01217,51,105
g01218,2,0
g01219,1,2
g01220,837,685
g01221,601,203
g01222,2,2
g01223,1020,897
g01224,1316,488
g01225,2,2
g01226,3,1
g01227,14,11
g01228,0,0
g01229,0,0
g01230,2,6
g01231,0,0
g01232,0,0
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,0,0
g01240,0,0
g01241,0,0
g01242,0,1
g01243,6,4
g01244,3,20
g01245,0,0
g01246,0,0
g01247,0,0
g01248,1,0
g01249,0,1
g01250,0,0
g01251,16,29
g01252,102,3
g01253,0,15
g01254,0,122
g01255,8,3
g01256,2,6
g01257,2,19
g01258,139,222
g01259,0,1
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,0
g01267,0,0
g01268,0,0
g01269,0,2
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,0,7
g01277,3,59
g01278,12,7
g01279,323,334
g01280,0,1
g01281,20,24
g01282,90,87
g01283,0,0
g01284,8,37
g01285,0,1
g01286,38,103
g01287,0,0
g01288,68,52
g01289,2,7
g01290,19,43
g01291,108,115
g01292,1,1
g01293,1,0
g01294,276,259
g01295,1,2
g01296,0,0
g01297,191,202
g01298,4,2
g01299,0,0
g01300,9,6
g01301,2,2
g01302,67,70
g01303,2008,2401
g01304,13,14
g01305,28,82
g01306,125,125
g01307,20,37
g01308,1580,866
g01309,61,102
g01310,617,784
g01311,0,0
g01312,312,423
g01313,43,34
g01314,24,52
g01315,17,15
g01316,1040,819
g01317,1,10
g01318,620,801
g01319,535,241
g01320,1,0
g01321,1082,692
g01322,42,32
g01323,505,317
